accountingDate,securitiesInformationProcessorSymbolIdentifier,issueName,issuerServicesGroupExchangeCode,marketClassCode,currentShortPositionQuantity,previousShortPositionQuantity,changePercent,changePreviousNumber,stockSplitFlag,averageDailyVolumeQuantity,daysToCoverQuantity,revisionFlag,settlementDate
20201231,AGRPY,Absa Group Ltd American Deposi,S,OTC,45,94,-52.13,-49,,688,1.00,,2020-12-31
20201231,AGRUF,AF Gruppen ASA Shares -A- (Nor,S,OTC,289,629,-54.05,-340,,0,999.99,,2020-12-31
20201231,AGSM,Silver Stream Mining Corp. NEW,S,OTC,104,104,0.00,0,,0,999.99,,2020-12-31
20201231,AGSO,AgriSolar Solutions Inc. Comm,S,OTC,3838,2696,42.36,1142,,894030,1.00,,2020-12-31
20201231,AGSVF,Argentum Silver Corp. Ordinary,S,OTC,9500,0,100.00,9500,,2356,4.03,,2020-12-31
20201231,AGTK,Agritek Holdings Inc Common S,S,OTC,22895,0,100.00,22895,,748143,1.00,,2020-12-31
20201231,AGUNF,Arctic Glacier Income Fund Tru,S,OTC,20000,0,100.00,20000,,133387,1.00,,2020-12-31
20201231,AGXKF,Anglo Asian Mining Plc Ordinar,S,OTC,540,540,0.00,0,,113,4.78,,2020-12-31
20201231,AGYP,Allied Energy Corporation. Com,S,OTC,32135,0,100.00,32135,,990430,1.00,,2020-12-31
20201231,AGZNF,AEGEAN AIRLINES Ordinary Share,S,OTC,169,137,23.36,32,,5,33.80,,2020-12-31
20201231,AHAG,Alpha Technologies Group Inc.,S,OTC,1380,1488,-7.26,-108,,801,1.72,,2020-12-31
20201231,AHCHF,Anhui Conch Cement Shares -H-O,S,OTC,417095,438240,-4.82,-21145,,2376,175.55,,2020-12-31
20201231,AHCHY,Anhui Conch Cement Unsponsored,S,OTC,295,741,-60.19,-446,,29804,1.00,,2020-12-31
20201231,AHELF,American Helium Inc. Ordinary,S,OTC,6871,421,1532.07,6450,,8426,1.00,,2020-12-31
20201231,AHEXF,Adecco Group AG Ordinary Share,S,OTC,92624,23260,298.21,69364,,17,999.99,,2020-12-31
20201231,AHEXY,Adecco Group AG American Depos,S,OTC,719,593,21.25,126,,33915,1.00,,2020-12-31
20201231,AHFCF,Flow Cap Corp Ordinary Shares,S,OTC,260,0,100.00,260,,47,5.53,,2020-12-31
20201231,AHFI,Absolute Health and Fitness I,S,OTC,8018,10769,-25.55,-2751,,4585,1.75,,2020-12-31
20201231,AHICF,Asahi Intec Co Ltd Nagoya Ord,S,OTC,553982,740062,-25.14,-186080,,0,999.99,,2020-12-31
20201231,AHII,American Heritage Internationa,S,OTC,76,76,0.00,0,,79,1.00,,2020-12-31
20201231,AHKSF,ASAHI KASEI CORP Ordinary Shar,S,OTC,304534,395367,-22.97,-90833,,15353,19.84,,2020-12-31
20201231,AHKSY,Asahi Kaisai Corporation Ameri,S,OTC,56582,3456,1537.21,53126,,62165,1.00,,2020-12-31
20201231,AHLD,ATD NEW HOLDINGS INC Common St,S,OTC,64102,62791,2.09,1311,,0,999.99,,2020-12-31
20201231,AHNR,Athena Silver Corporation Comm,S,OTC,1054,17,6100.00,1037,,13017,1.00,,2020-12-31
20201231,AHODF,Koninklijke Ahold Delhaize N V,S,OTC,7646667,7508303,1.84,138364,,3580,999.99,,2020-12-31
20201231,AHOTF,American Hotel Income Properti,S,OTC,17,4156,-99.59,-4139,,20363,1.00,,2020-12-31
20201231,AHROQ,Atheronova Inc.Common Stock,S,OTC,48246,42775,12.79,5471,,19116,2.52,,2020-12-31
20201231,AIABF,Airasia Bhd Ordinary Shares (M,S,OTC,1501,4258,-64.75,-2757,,2018,1.00,,2020-12-31
20201231,AIAGF,Aurubis Ag Ordinary Shares (Ge,S,OTC,58012,58824,-1.38,-812,,2,999.99,,2020-12-31
20201231,AIAGY,Aurubis Ag Unsponsored ADR (Ge,S,OTC,200,401,-50.12,-201,,24,8.33,,2020-12-31
20201231,AIAPF,Ascential Group Ltd Ord GBP 0.,S,OTC,280749,555810,-49.49,-275061,,0,999.99,,2020-12-31
20201231,AIBGY,AIB Group plc American Deposit,S,OTC,440,60,633.33,380,,204,2.16,,2020-12-31
20201231,AIBRF,AIB Group PLC EUR 2.47 Ordinar,S,OTC,157176,158247,-0.68,-1071,,579,271.46,,2020-12-31
20201231,AICAF,Air China Ltd Shares H (China),S,OTC,4898521,6955235,-29.57,-2056714,,784,999.99,,2020-12-31
20201231,AIFLY,Aiful Corp Unsponsored America,S,OTC,52,52,0.00,0,,0,999.99,,2020-12-31
20201231,AIGI,Artistmss International Group,S,OTC,10,10,0.00,0,,0,999.99,,2020-12-31
20201231,AIHLF,Adcock Ingram Holdings Limited,S,OTC,1,1,0.00,0,,0,999.99,,2020-12-31
20201231,AILIM,Ameren Illinois Company 4.70%,S,OTC,75,10,650.00,65,,150,1.00,,2020-12-31
20201231,AILIN,Ameren Illinois Company 4.42%,S,OTC,10,10,0.00,0,,0,999.99,,2020-12-31
20201231,AILIP,Ameren Illinois Company 4.20%,S,OTC,48,0,100.00,48,,18,2.67,,2020-12-31
20201231,AILLL,Ameren Illinois Company Deposi,S,OTC,16,229,-93.01,-213,,613,1.00,,2020-12-31
20201231,AILQF,AirlQ Inc. Ordinary Shares (C,S,OTC,3000,3000,0.00,0,,1700,1.76,,2020-12-31
20201231,AINPF,Ain Pharmaciez Inc Sapporo Ord,S,OTC,289994,277449,4.52,12545,,27,999.99,,2020-12-31
20201231,AINSF,Ainsworth Game Technology Ltd,S,OTC,45800,47062,-2.68,-1262,,582,78.69,,2020-12-31
20201231,AIOSF,Atresmedia Corporacion De Medi,S,OTC,1645,5067,-67.54,-3422,,188,8.75,,2020-12-31
20201231,AIPUF,Airports of Thailand Public Co,S,OTC,161520,117911,36.98,43609,,259,623.63,,2020-12-31
20201231,AIPUY,Airports of Thailand Public Co,S,OTC,2831,10543,-73.15,-7712,,1077,2.63,,2020-12-31
20201231,AIQUF,L'Air Liquide Ord Ordinary Sha,S,OTC,31718,25859,22.66,5859,,448,70.80,,2020-12-31
20201231,AIQUY,L'Air Liquide Ord American Dep,S,OTC,53497,40783,31.17,12714,,186595,1.00,,2020-12-31
20201231,AIRRF,Aurion Resources Ltd. Ordinar,S,OTC,9577,3129,206.07,6448,,100924,1.00,,2020-12-31
20201231,AIRYY,Air China Limited Sponsored AD,S,OTC,268,227,18.06,41,,695,1.00,,2020-12-31
20201231,AISSF,AIS Res Ltd Ordinary Shares (B,S,OTC,26764,31660,-15.46,-4896,,21764,1.23,,2020-12-31
20201231,AITA,Wunong Asia Pacific Company Li,S,OTC,433,433,0.00,0,,887,1.00,,2020-12-31
20201231,AITUF,Anritsu Corp (F) Ordinary Shar,S,OTC,1466885,1009885,45.25,457000,,13,999.99,,2020-12-31
20201231,AITX,ARTIFICIAL INTELLIGENCE TECHNO,S,OTC,126283,99905,26.40,26378,,524797579,1.00,,2020-12-31
20201231,AIVAF,Aviva plc Ordinary Shares (Uni,S,OTC,1197964,1257579,-4.74,-59615,,3976,301.30,,2020-12-31
20201231,AIXXF,AIXTRON SE  Namen - AKT,S,OTC,19455,16290,19.43,3165,,1274,15.27,,2020-12-31
20201231,AJINF,Ajinomoto Company Inc. Ordina,S,OTC,419774,373446,12.41,46328,,364,999.99,,2020-12-31
20201231,AJINY,Ajinomoto Company Inc. Americ,S,OTC,251751,204,123307.35,251547,,34242,7.35,,2020-12-31
20201231,AJMPF,Ashmore Group Plc Ordinary sha,S,OTC,5165131,4190174,23.27,974957,,906,999.99,,2020-12-31
20201231,AJOY,Ayujoy Herbals Ltd. Common Sto,S,OTC,25200,0,100.00,25200,,202863,1.00,,2020-12-31
20201231,AJXGF,AgJunction  Inc Ordinary Share,S,OTC,56754,60704,-6.51,-3950,,165991,1.00,,2020-12-31
20201231,AKAAF,Aker Asa Shares A (Norway),S,OTC,15561,14619,6.44,942,,6,999.99,,2020-12-31
20201231,AKABY,Alk Abello A S Sponsored ADR (,S,OTC,99,99,0.00,0,,0,999.99,,2020-12-31
20201231,AKAFF,Akatsuki Inc Common Shares (Ja,S,OTC,15025,9525,57.74,5500,,0,999.99,,2020-12-31
20201231,AKAOQ,ACHAOGEN INC Common Stock,S,OTC,678132,707272,-4.12,-29140,,198125,3.42,,2020-12-31
20201231,AKAVF,Envirotek Remediation Inc Comm,S,OTC,5273,5273,0.00,0,,341,15.46,,2020-12-31
20201231,AKBIF,Akebono Brake Industries Ordin,S,OTC,303633,324933,-6.56,-21300,,0,999.99,,2020-12-31
20201231,AKBLF,Alk-Abello A/S Shares -B- (Den,S,OTC,5751,6152,-6.52,-401,,0,999.99,,2020-12-31
20201231,AKBTY,Akbank Turk Anonim Sirketi ADR,S,OTC,99670,9978,898.90,89692,,48007,2.08,,2020-12-31
20201231,AKCCF,AKER CARBON CAPTURE AS Ordinar,S,OTC,1,1,0.00,0,,142,1.00,,2020-12-31
20201231,AKCPF,Asustek Computer Inc Ord Ordin,S,OTC,487,2,24250.00,485,,182,2.68,,2020-12-31
20201231,AKEJF,Ariake Japan Ordinary Shares,S,OTC,20374,17830,14.27,2544,,0,999.99,,2020-12-31
20201231,AKKVF,AKASTOR ASA  ASA Ordinary Shar,S,OTC,205,205,0.00,0,,201,1.02,,2020-12-31
20201231,AKOWF,AKER OFFSHORE WIND HLDG AS Ord,S,OTC,1,1,0.00,0,,0,999.99,,2020-12-31
20201231,AKRFF,Ackroo Inc. Ordinary Shares,S,OTC,649,112,479.46,537,,20319,1.00,,2020-12-31
20201231,AKRRF,Philly Shipyard ASA Ordinary S,S,OTC,198,4397,-95.50,-4199,,230,1.00,,2020-12-31
20201231,AKRYY,AKER SOLUTIONS ASA  American D,S,OTC,25,25,0.00,0,,0,999.99,,2020-12-31
20201231,AKSJF,Sberbank Russia Ordinary Share,S,OTC,45455,45529,-0.16,-74,,0,999.99,,2020-12-31
20201231,AKSLF,Akasol AG INH ON Common Stock,S,OTC,493,435,13.33,58,,0,999.99,,2020-12-31
20201231,AKSY,Aksys Ltd. Common Stock,S,OTC,119848,119848,0.00,0,,1804,66.43,,2020-12-31
20201231,AKTAF,Akita Drilling Ltd Non Vtg A O,S,OTC,7577,178,4156.74,7399,,13303,1.00,,2020-12-31
20201231,AKWCF,Arakawa Chemical Industries Lt,S,OTC,16579,6179,168.31,10400,,0,999.99,,2020-12-31
20201231,AKZOF,Akzo Nobel N.V. Ordinary Share,S,OTC,116884,181784,-35.70,-64900,,3041,38.44,,2020-12-31
20201231,AKZOY,Akzo Nobel N.V. American Depos,S,OTC,17641,34101,-48.27,-16460,,30077,1.00,,2020-12-31
20201231,ALAN,Alanco Technologies Inc. Commo,S,OTC,2182,2182,0.00,0,,21725,1.00,,2020-12-31
20201231,ALBBY,Alibaba Health Information Tec,S,OTC,75,5,1400.00,70,,40,1.88,,2020-12-31
20201231,ALBHF,Alibaba Health Information Tec,S,OTC,590251,448907,31.49,141344,,86640,6.81,,2020-12-31
20201231,ALBKF,Alpha Bank SA Ordinary Shares,S,OTC,20262,20977,-3.41,-715,,8466,2.39,,2020-12-31
20201231,ALBKY,Alpha Bank AE American Deposit,S,OTC,19111,42129,-54.64,-23018,,242011,1.00,,2020-12-31
20201231,ALCCF,Alicanto Minerals Ltd Ordinary,S,OTC,5000,5000,0.00,0,,0,999.99,,2020-12-31
20201231,ALDVF,KIPLIN METALS INC Ordinary Sha,S,OTC,653,221,195.48,432,,285,2.29,,2020-12-31
20201231,ALEAF,Aleafia Health Inc Ordinary Sh,S,OTC,1568959,1311400,19.64,257559,,432267,3.63,,2020-12-31
20201231,ALEDY,Allied Group Limited Unsponsor,S,OTC,5,5,0.00,0,,15,1.00,,2020-12-31
20201231,ALEGF,ALLEGRO EU SA ORD BR (Luxembou,S,OTC,163494,177931,-8.11,-14437,,0,999.99,,2020-12-31
20201231,ALFFF,Alfa S.A.B. de C.V. Ordinary S,S,OTC,2549141,2762840,-7.73,-213699,,1567750,1.63,,2020-12-31
20201231,ALFNF,Alfen NV Ordinary Shares,S,OTC,413,1465,-71.81,-1052,,0,999.99,,2020-12-31
20201231,ALFVF,Alfa-Laval Ab Ordinary shares,S,OTC,228786,155392,47.23,73394,,41,999.99,,2020-12-31
20201231,ALFVY,Alfa-Laval Ab Unsponsored ADR,S,OTC,10071,685,1370.22,9386,,19942,1.00,,2020-12-31
20201231,ALGWF,Alliance Growers Corp Ordinary,S,OTC,100,100,0.00,0,,1755,1.00,,2020-12-31
20201231,ALID,Allied Corp. Common Stock,S,OTC,326,516,-36.82,-190,,17429,1.00,,2020-12-31
20201231,ALIF,Artificial Life Inc. Common S,S,OTC,73372,69363,5.78,4009,,68363,1.07,,2020-12-31
20201231,ALIZF,Allianz Ag Muenchen Namen-Akt,S,OTC,134632,197023,-31.67,-62391,,438,307.38,,2020-12-31
20201231,ALIZY,Allianz SE Unsponsored ADR (Ge,S,OTC,28270,1255,2152.59,27015,,207301,1.00,,2020-12-31
20201231,ALKEF,Alkane Resources Ltd. Ordinary,S,OTC,7830,11861,-33.99,-4031,,6145,1.27,,2020-12-31
20201231,ALKM,Alkame Holdings Inc. Common S,S,OTC,233691,0,100.00,233691,,27162517,1.00,,2020-12-31
20201231,ALKN,Alkane Inc. Common Stock,S,OTC,74794,134401,-44.35,-59607,,570366,1.00,,2020-12-31
20201231,ALLIF,Alpha Lithium Corp Ordinary Sh,S,OTC,33776,170099,-80.14,-136323,,1130111,1.00,,2020-12-31
20201231,ALLM,Alliance Bioenergy Plus Inc.,S,OTC,3316,987,235.97,2329,,67688,1.00,,2020-12-31
20201231,ALLPF,Arocell AB Uppsala Ordinary Sh,S,OTC,1000,0,100.00,1000,,364,2.75,,2020-12-31
20201231,ALLVF,Altice Europe N V Ordinary Sha,S,OTC,655680,650808,0.75,4872,,6182,106.06,,2020-12-31
20201231,ALLWF,ALLIED MINDS LTD Ordinary Shar,S,OTC,420723,260766,61.34,159957,,1818,231.42,,2020-12-31
20201231,ALLXF,Caldas Gold Corp.  Common Stoc,S,OTC,2787,11469,-75.70,-8682,,24641,1.00,,2020-12-31
20201231,ALMFF,Altium Ltd Ordinary Shares (Au,S,OTC,13455,11195,20.19,2260,,441,30.51,,2020-12-31
20201231,ALMMF,Aluminum Corp China Limited Al,S,OTC,13257708,11252192,17.82,2005516,,193,999.99,,2020-12-31
20201231,ALMTF,Almonty Industries Inc. Ordina,S,OTC,5000,1000,400.00,4000,,9659,1.00,,2020-12-31
20201231,ALNPF,ANA Holdings Inc. Ordinary Sha,S,OTC,1136993,1115342,1.94,21651,,4470,254.36,,2020-12-31
20201231,ALNPY,ANA Holdings Inc. Ord American,S,OTC,2117,24851,-91.48,-22734,,10857,1.00,,2020-12-31
20201231,ALOD,Allied Resources Inc. Common,S,OTC,13,13,0.00,0,,0,999.99,,2020-12-31
20201231,ALPC,Alpha Investment Inc. Common S,S,OTC,15,15,0.00,0,,0,999.99,,2020-12-31
20201231,ALPE,alpha-En Corporation Common St,S,OTC,672,1809,-62.85,-1137,,14815,1.00,,2020-12-31
20201231,ALPKF,Alpek SAB DE CV Ordinary Share,S,OTC,14137019,14151992,-0.11,-14973,,4909,999.99,,2020-12-31
20201231,ALPMF,Astellas Pharma Inc Ordinary S,S,OTC,106879,81105,31.78,25774,,4276,25.00,,2020-12-31
20201231,ALPMY,Astellas Pharma Inc Unsponsore,S,OTC,17562,40428,-56.56,-22866,,135185,1.00,,2020-12-31
20201231,ALPP,Alpine 4 Technologies Ltd. Com,S,OTC,2712960,98134,2664.55,2614826,,13224921,1.00,,2020-12-31
20201231,ALPVN,Alabama Power Company 4.60 Pre,S,OTC,30,30,0.00,0,,16,1.88,,2020-12-31
20201231,ALRHF,Allreal Holding Ag Zug Reg Shs,S,OTC,397,2644,-84.98,-2247,,0,999.99,,2020-12-31
20201231,ALRT,ALR Technologies Inc. Common,S,OTC,1179,11275,-89.54,-10096,,107708,1.00,,2020-12-31
20201231,ALSMY,Alstom Unsponsored ADR (France,S,OTC,102628,491415,-79.12,-388787,,151877,1.00,,2020-12-31
20201231,ALSRF,Alstria Office AG Hamburg Ord,S,OTC,449374,416049,8.01,33325,,45,999.99,,2020-12-31
20201231,ALSSF,Alsea Sa Ordinary Shares,S,OTC,4935502,1986636,148.44,2948866,,6201,795.92,,2020-12-31
20201231,ALST,Allstar Health Brands Inc. Co,S,OTC,6806,4824,41.09,1982,,160835,1.00,,2020-12-31
20201231,ALTMW,Altus Midstream Company Warran,S,OTC,723,8621,-91.61,-7898,,7636,1.00,,2020-12-31
20201231,ALTPF,Altiplano Metals Inc Ordinary,S,OTC,3690,3690,0.00,0,,7000,1.00,,2020-12-31
20201231,ALTSF,Alturas Minerals Corp Ordinary,S,OTC,1000,0,100.00,1000,,182,5.49,,2020-12-31
20201231,ALTUF,ALTUS STRATEGIES PLC Ordinary,S,OTC,660,5000,-86.80,-4340,,312,2.12,,2020-12-31
20201231,ALVOF,Alvopetro Energy Ltd Common Sh,S,OTC,23419,25095,-6.68,-1676,,40837,1.00,,2020-12-31
20201231,ALVRQ,Alvarion Ltd. Ordinary Shares,S,OTC,12247,11196,9.39,1051,,67056,1.00,,2020-12-31
20201231,ALVVF,ALTICE N V Ordinary Shares (Ne,S,OTC,183,126,45.24,57,,6540,1.00,,2020-12-31
20201231,ALXEF,ALX RES CORP Common Shares,S,OTC,1000,3758,-73.39,-2758,,61372,1.00,,2020-12-31
20201231,ALXXF,Anante Logixx Inc Common Share,S,OTC,3900,0,100.00,3900,,2000,1.95,,2020-12-31
20201231,ALYI,Alternet Systems Inc. Common,S,OTC,88610,358980,-75.32,-270370,,47613966,1.00,,2020-12-31
20201231,ALZPF,Alony Hetz Properties & Invest,S,OTC,21078,41430,-49.12,-20352,,0,999.99,,2020-12-31
20201231,AMADF,Amadeus IT Group SA Ordinary S,S,OTC,316158,485072,-34.82,-168914,,5199,60.81,,2020-12-31
20201231,AMADY,Amadeus IT Group SA American D,S,OTC,32190,11427,181.70,20763,,235606,1.00,,2020-12-31
20201231,AMANF,Amano Corp Ordinary Shares,S,OTC,1397,10197,-86.30,-8800,,0,999.99,,2020-12-31
20201231,AMAR,Amarillo Biosciences Inc. Com,S,OTC,2447,814,200.61,1633,,1868,1.31,,2020-12-31
20201231,AMBBY,Ambu AS American Depositary Re,S,OTC,2620,21,12376.19,2599,,1128,2.32,,2020-12-31
20201231,AMBEF,AMBEA AB	SHARE AK Ordinary Sha,S,OTC,27630,37630,-26.57,-10000,,0,999.99,,2020-12-31
20201231,AMBFF,Ambu A/S Ordinary Shares,S,OTC,9623547,10501435,-8.36,-877888,,2533,999.99,,2020-12-31
20201231,AMBKP,American Bank Inc Capital Trus,S,OTC,3,3,0.00,0,,0,999.99,,2020-12-31
20201231,AMBS,Amarantus Bioscience Holdings,S,OTC,84270,62185,35.51,22085,,1482571,1.00,,2020-12-31
20201231,AMCCF,Amcor PLC CDI 1:1,S,OTC,80933,80933,0.00,0,,148,546.84,,2020-12-31
20201231,AMCF,Andatee China Marine Fuel Serv,S,OTC,10982,10982,0.00,0,,5272,2.08,,2020-12-31
20201231,AMDUF,AMUNDI SA Ordinary Shares Fran,S,OTC,523,13,3923.08,510,,810,1.00,,2020-12-31
20201231,AMDWF,Amada Hldgs Co Ltd Ordinary Sh,S,OTC,43720,26716,63.65,17004,,0,999.99,,2020-12-31
20201231,AMEFF,APPRECIATED MEDIA HLDGS INC Or,S,OTC,2202,13302,-83.45,-11100,,27964,1.00,,2020-12-31
20201231,AMEN,AMEN Properties Inc Common Sto,S,OTC,1,1,0.00,0,,22,1.00,,2020-12-31
20201231,AMEUF,Anteris Technologies Ltd.  Ord,S,OTC,988,1492,-33.78,-504,,59,16.75,,2020-12-31
20201231,AMFPF,Amplifon Spa Milano Ordinary S,S,OTC,2782566,3056243,-8.95,-273677,,94,999.99,,2020-12-31
20201231,AMGDF,ASTON MARTIN LAGONDA GLOBAL HL,S,OTC,88859,59703,48.84,29156,,7461,11.91,R,2020-12-31
20201231,AMGXF,Anges Inc Ordinary Shares (Jap,S,OTC,161396,242261,-33.38,-80865,,67,999.99,,2020-12-31
20201231,AMGY,American Metal & Technology I,S,OTC,25038,5105,390.46,19933,,1897,13.20,,2020-12-31
20201231,AMHD,HLK Biotec Holding Group Inc.,S,OTC,696,696,0.00,0,,2226,1.00,,2020-12-31
20201231,AMHG,AMERGENT HOSPITALITY GROUP INC,S,OTC,27265,27267,-0.01,-2,,100587,1.00,,2020-12-31
20201231,AMHPF,Verde Agritech PLC Ordinary Sh,S,OTC,80880,80880,0.00,0,,4431,18.25,,2020-12-31
20201231,AMHV,American Hemp Ventures Inc. Co,S,OTC,419,419,0.00,0,,971,1.00,,2020-12-31
20201231,AMIGF,Admiral Group plc Cardiff Ord,S,OTC,375944,362257,3.78,13687,,386,973.95,,2020-12-31
20201231,AMIGY,Admiral Group plc Cardiff Uns,S,OTC,385,0,100.00,385,,824,1.00,,2020-12-31
20201231,AMIH,American International Holding,S,OTC,55404,124062,-55.34,-68658,,1829301,1.00,,2020-12-31
20201231,AMIVF,Atrium Mtg Invt Corp Common Sh,S,OTC,5370,5997,-10.46,-627,,8,671.25,,2020-12-31
20201231,AMKAF,A.P. Moeller-Maersk A/S A Shar,S,OTC,92,100,-8.00,-8,,130,1.00,,2020-12-31
20201231,AMKBF,A.P. Moeller-Maersk A/S B Shar,S,OTC,21344,19026,12.18,2318,,46,464.00,,2020-12-31
20201231,AMKBY,A.P. Moller-Maersk A/S Unspons,S,OTC,34184,5266,549.15,28918,,256844,1.00,,2020-12-31
20201231,AMKYF,ABC-Mart Inc Tokyo Ordinary Sh,S,OTC,51891,45684,13.59,6207,,55,943.47,,2020-12-31
20201231,AMLLF,Aeon Mall Co Ltd Ordinary Shar,S,OTC,169791,55738,204.62,114053,,0,999.99,,2020-12-31
20201231,AMLTF,AMP Limited Ordinary Shares (A,S,OTC,880629,963267,-8.58,-82638,,164,999.99,,2020-12-31
20201231,AMLYY,Amp Limited Sponsored ADR (Aus,S,OTC,4862,2670,82.10,2192,,399,12.19,,2020-12-31
20201231,AMLZF,African Minerals Limited Ordin,S,OTC,69082,69082,0.00,0,,159106,1.00,,2020-12-31
20201231,AMMCF,Amur Minerals Corporation Ordi,S,OTC,66500,6500,923.08,60000,,107426,1.00,,2020-12-31
20201231,AMMJ,American Cannabis Company Inc,S,OTC,200,16517,-98.79,-16317,,1650232,1.00,,2020-12-31
20201231,AMMXD,AMERAMEX INTERNATIONAL INC Com,S,OTC,150,60,150.00,90,S,59256,1.00,R,2020-12-31
20201231,AMNF,Armanino Foods of Distinction,S,OTC,176,1130,-84.42,-954,,29522,1.00,,2020-12-31
20201231,AMNL,Applied Minerals Inc. Common,S,OTC,39650,9266,327.91,30384,,3007203,1.00,,2020-12-31
20201231,AMNP,American Sierra Gold Corp. Com,S,OTC,1280,0,100.00,1280,,11776,1.00,,2020-12-31
20201231,AMNTF,ASIA CEMENT CHINA HOLDINGS COR,S,OTC,508000,614500,-17.33,-106500,,0,999.99,,2020-12-31
20201231,AMOSF,Atomos Ltd Ordinary Shares (Au,S,OTC,526,526,0.00,0,,409,1.29,,2020-12-31
20201231,AMPCF,Amorepacific Group Inc Ordinar,S,OTC,2,2,0.00,0,,0,999.99,,2020-12-31
20201231,AMPG,Amplitech Group Inc. Com,S,OTC,1233,4357,-71.70,-3124,,605017,1.00,,2020-12-31
20201231,AMPYW,Amplify Energy Corp. Warrant,S,OTC,10430,10430,0.00,0,,31145,1.00,,2020-12-31
20201231,AMRZF,Arena Minerals Inc. Ordinary,S,OTC,4000,0,100.00,4000,,7221,1.00,,2020-12-31
20201231,AMSLF,Australian Mines Limited Ordin,S,OTC,263284,269119,-2.17,-5835,,150555,1.75,,2020-12-31
20201231,AMSSY,AMS AG  American Depositary Re,S,OTC,12542,4532,176.74,8010,,19392,1.00,,2020-12-31
20201231,AMSU,Amanasu Environment Corporatio,S,OTC,123,123,0.00,0,,64888,1.00,,2020-12-31
20201231,AMSYF,ArcelorMittal Common Shares,S,OTC,1668858,2539937,-34.30,-871079,,133922,12.46,,2020-12-31
20201231,AMTY,Amerityre Corporation Common S,S,OTC,551,38860,-98.58,-38309,,146677,1.00,,2020-12-31
20201231,AMVMF,AMG Advanced Metallurgical Gro,S,OTC,41982,44442,-5.54,-2460,,1542,27.23,,2020-12-31
20201231,AMXEF,Amex Expl Inc Ordinary Shares,S,OTC,15797,2658,494.32,13139,,76118,1.00,,2020-12-31
20201231,AMXVF,America Movil S.A. de C.V. Cl,S,OTC,97519424,95008567,2.64,2510857,,3377,999.99,,2020-12-31
20201231,AMYZF,American Manganese Inc Ordinar,S,OTC,6750,5616,20.19,1134,,3554986,1.00,,2020-12-31
20201231,ANAV,Alpha Network Alliance Venture,S,OTC,1080,1580,-31.65,-500,,1873,1.00,,2020-12-31
20201231,ANCTF,Alimentation Couche-Tard Inc.,S,OTC,880,9380,-90.62,-8500,,231,3.81,,2020-12-31
20201231,ANCUF,Alimentation Couche-Tard Inc.,S,OTC,1150909,1119574,2.80,31335,,10460,110.03,,2020-12-31
20201231,ANDGF,Aeon Delight Co. Ltd. Ordinar,S,OTC,3193,1000,219.30,2193,,753,4.24,,2020-12-31
20201231,ANDHF,ANDLAUER HEALTHCARE GROUP INC,S,OTC,4100,10100,-59.41,-6000,,114,35.96,,2020-12-31
20201231,ANDR,Andrea Electronics Corporation,S,OTC,8983,543,1554.33,8440,,288165,1.00,,2020-12-31
20201231,ANEWF,Australia & N Z Bkg Grp Ord Or,S,OTC,2710717,2751993,-1.50,-41276,,1816,999.99,,2020-12-31
20201231,ANFC,Black Ridge Oil & Gas Inc. Co,S,OTC,650,193,236.79,457,,882,1.00,,2020-12-31
20201231,ANFGF,Antofagasta Holdings Plc Ordin,S,OTC,1699544,1809818,-6.09,-110274,,3278,518.47,,2020-12-31
20201231,ANFIF,Amira Nature Foods Ltd Ordinar,S,OTC,306,306,0.00,0,,15208,1.00,,2020-12-31
20201231,ANGGF,Angang Steel Co Ltd  Ordinary,S,OTC,1656123,2456038,-32.57,-799915,,0,999.99,,2020-12-31
20201231,ANGPY,Anglo American Platinum Ltd Am,S,OTC,11257,16639,-32.35,-5382,,15351,1.00,,2020-12-31
20201231,ANGVF,Angus Gold Inc Other,S,OTC,8000,2000,300.00,6000,,3855,2.08,,2020-12-31
20201231,ANHGY,Mediclinic International Plc A,S,OTC,5,0,100.00,5,,51,1.00,,2020-12-31
20201231,ANHTF,ANICOM HOLDINGS INC TOKYO Ord,S,OTC,93013,130065,-28.49,-37052,,0,999.99,,2020-12-31
20201231,ANIOY,Acerinox SA Unsponsored ADR (S,S,OTC,548,547,0.18,1,,98,5.59,,2020-12-31
20201231,ANKOF,Angkor Resources Corp.  Common,S,OTC,1399,21246,-93.42,-19847,,12091,1.00,,2020-12-31
20201231,ANLBF,Aton Res Inc Common Shares,S,OTC,20,25,-20.00,-5,,1601,1.00,,2020-12-31
20201231,ANLDF,Anfield Energy Inc Ordinary Sh,S,OTC,224764,174,129074.71,224590,,187266,1.20,,2020-12-31
20201231,ANNMF,Anima Hldgs SPA Ordinary Share,S,OTC,264548,232756,13.66,31792,,0,999.99,,2020-12-31
20201231,ANNSF,AENA S A Ordinary Shares (Spai,S,OTC,24664,24000,2.77,664,,255,96.72,,2020-12-31
20201231,ANPCY,Angle Plc Surrey Sponsored Am,S,OTC,21,0,100.00,21,,147,1.00,,2020-12-31
20201231,ANPDF,Anta Sports Products Limited O,S,OTC,2433479,2340586,3.97,92893,,2363,999.99,,2020-12-31
20201231,ANPDY,Anta Sports Products Limited U,S,OTC,175,1260,-86.11,-1085,,1709,1.00,,2020-12-31
20201231,ANSLF,Ansell Limited Ordinary Shares,S,OTC,2755,2819,-2.27,-64,,23,119.78,,2020-12-31
